sensor_id,sensor_type,value,unit,location,timestamp
TEMP_01,temperature,21.5,C,living room,2026-03-01 10:00:00
TEMP_02,temperature,31.5,C,kitchen,2026-03-02 14:23:00
TEMP_03,temperature,15.2,C,bedroom,2026-03-03 08:15:00
TEMP_04,temperature,26.4,C,garage,2026-03-04 19:30:00
HUM_01,humidity,42.0,%,living room,2026-03-05 12:00:00
HUM_02,humidity,68.5,%,bathroom,2026-03-08 09:45:00
HUM_03,humidity,76.2,%,bedroom,2026-03-10 21:10:00
HUM_04,humidity,38.4,%,kitchen,2026-03-12 16:40:00
LIGHT_01,light,350,lux,living room,2026-03-06 11:15:00
LIGHT_02,light,120,lux,bedroom,2026-03-09 20:00:00
LIGHT_03,light,780,lux,kitchen,2026-03-11 13:30:00
LIGHT_04,light,950,lux,garage,2026-03-13 18:25:00
MOT_01,motion,1,1/0,living room,2026-03-13 22:10:00
MOT_02,motion,0,1/0,bedroom,2026-03-14 07:30:00
MOT_03,motion,1,1/0,garage,2026-03-14 23:50:00
MOT_04,motion,1,1/0,kitchen,2026-03-15 01:20:00
