kasutajanimi,kategooria,küsimuste_arv,tüüp,skoor,kuupäev
b,Entertainment: Video Games,3,multiple,0,2026-05-01 19:03:00
c,Entertainment: Music,1,boolean,1,2026-05-01 19:04:05
d,Entertainment: Musicals & Theatres,1,boolean,1,2026-05-01 19:04:27
e,Geography,1,boolean,1,2026-05-01 19:04:44
f,Entertainment: Music,1,boolean,0,2026-05-01 19:05:07
t,Entertainment: Music,1,boolean,1,2026-05-01 19:05:39
y,Geography,1,multiple,1,2026-05-01 19:12:54
h,Entertainment: Television,1,boolean,0,2026-05-01 19:15:56
1,Entertainment: Music,1,boolean,0,2026-05-01 19:20:17
ds,Entertainment: Musicals & Theatres,1,boolean,0,2026-05-04 21:18:36
asdasdasd,Entertainment: Music,1,boolean,0,2026-05-04 21:25:54
123123,General Knowledge,1,boolean,1,2026-05-04 21:29:52
3asd,Entertainment: Musicals & Theatres,2,boolean,2,2026-05-04 21:36:10
23423,Entertainment: Music,1,boolean,0,2026-05-04 21:39:31
asdas,Entertainment: Music,1,boolean,1,2026-05-04 21:47:04
